First Name,Last Name,E Mail,Phone No. 
Serafina,Bumgarner,serafina.bumgarner@exxonmobil.com,2123769125
Juliette,Rojo,juliette.rojo@yahoo.co.uk,2152549594
Milan,Krawczyk,milan.krawczyk@hotmail.com,2407484111
Elmer,Jason,elmer.jason@yahoo.com,2367515963
Zelda,Forest,zelda.forest@ibm.com,2122684076
Rhett,Wan,rhett.wan@hotmail.com,2099843789
Hal,Farrow,hal.farrow@cox.net,2095500139
Del,Fernandez,del.fernandez@hotmail.com,2169003642
Corey,Jackman,corey.jackman@gmail.com,2123898573
Bibi,Paddock,bibi.paddock@yahoo.co.in,4233553751
Eric,Manning,eric.manning@yahoo.com,3199135811
Renetta,Hafner,renetta.hafner@aol.com,2396644998
Paz,Pearman,paz.pearman@gmail.com,3194353438
Ardath,Forman,ardath.forman@gmail.com,2294475924
Nanci,Osorio,nanci.osorio@hotmail.com,6032983198
Maricela,Simard,maricela.simard@gmail.com,2523837726
Avelina,Stoner,avelina.stoner@exxonmobil.com,2153291990
Christene,Mattison,christene.mattison@gmail.com,3145619256
Stefan,Maeda,stefan.maeda@yahoo.com,2258896869
